EventNo,Topic,Event,Link,Keywords,Check_Date,Start_Date,End_Date,Other_Keywords,Sample_Tweets
EN1,Ukraine,Russia Embassy in Canada claim that it is not occupying Ukrainian territory,https://www.politifact.com/factchecks/2022/mar/03/russian-embassy-canada/russias-pants-fire-claim-it-not-occupying-ukrainia/,(((russian OR russia) canada embassy occupying) OR ((russian OR russia) canada embassy statement) OR ((russian OR russia) canada embassy claim) OR ((russian OR russia) canada embassy operation)),3.3.2022,3.1.2022,25.3.2022,russian canada embassy,1498816008756383744%1500746393115369474%1500739970629263360%1500643356019335168%1500508059075969028%1500360739403571201
EN2,Ukraine,Viral clip shows 'Arma 3' video game not war between Russia and Ukraine,https://www.usatoday.com/story/news/factcheck/2022/02/21/fact-check-arma-3-not-russia-ukraine-conflict-shown-viral-video/6879521001/,arma 3 russia ukraine,21.02.2022,21.12.2021,25.3.2022,russia ukraine war video,1499460925253832707%1499703407275175937%1499723858303238145%1499067203194392580
EN3,Ukraine,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/,donbas ukraine genocide,25.2.2022,25.12.2021,25.3.2022,donbas ukraine russia,1500797651876737035%1500796639929372677%1500783070194118662%1500776418732564487%1500771245243043846%1500758003733041154%1500753151888089090
EN4,Ukraine,Photo shows a Russian tank Ukrainians are selling on eBay,https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-isnt-photo-russian-tank-sale-ebay/,russian tank ebay,4.3.2022,4.1.2022,25.3.2022,ukraine russia tank,1500800391323262979%1500665638607597572%1500326684188418054%1500214042350153729%1500207268062646275%1500205013603438599
EN5,Ukraine,Where is Zelensky?'Zelensky In Kyiv Has Not Fled To Poland':Ukrainian Parliament Counters Russia's Claim,https://www.republicworld.com/world-news/russia-ukraine-crisis/zelensky-in-kyiv-has-not-fled-to-poland-ukrainian-parliament-counters-russias-claim-articleshow.html,(zelensky not fled poland) OR (zelensky fled poland) OR (zelenski not fled poland) OR (zelenski fled poland),4.3.2022,4.1.2022,25.3.2022,((zelenski ukraine poland) OR (zelensky ukraine poland)),1500819742403149826%1500524671661395978%1500487684711723009%1500610579840450562%1500619031728078850
EN6,Ukraine,Evidence of Russia’s war in Ukraine is plentiful and proves it is not ‘staged’,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/evidence-russias-war-ukraine-plentiful-and-proves-/,((staged scripted ukraine war) OR (not staged war real)),4.3.2022,4.1.2022,25.3.2022,ukraine russia war,1500787497806274564%1500622437624516608%1500576647929470979%1499943927268483078%1500958820213927946%1500917677216481285
EN7,Ukraine,The former Miss Universe-Ukraine Anastasiia Lenna turned in her high heels for some combat boots to fight for her country.,https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/no-former-ukrainian-beauty-queen-has-not-joined-uk/,((anastasiia lenna military) OR (anastasiia lenna joined army)),7.3.2022,7.1.2022,25.3.2022,anastasiia lenna,1503505857404805120%1501798483875049482%1501600046567022599%1499721383643070466%1499623099062358017
EN8,Ukraine,A Time magazine cover shows Vladimir Putin with Hitler’s mustache.,https://www.politifact.com/factchecks/2022/mar/10/viral-image/no-isnt-real-time-cover-showing-putin-hitlers-must/,time magazine hitler putin,10.3.2022,10.1.2022,25.3.2022,hitler putin,1503954213801545730%1503060823551344648%1502353116523634689%1502065021894815744
EN9,Ukraine,Ukrainian fighter-ace known as the 'Ghost of Kyiv's real name is Samuyil Hyde.,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/samuyil-hyde-internet-meme-not-ghost-kyiv-pilot/,((ghost of (kyiv OR kiev) (samuyil OR samuel OR sam) hyde) OR (ghost (kyiv OR kiev) (samuyil OR samuel OR sam)) OR (ghost (kyiv OR kiev) hyde)),3.1.2022,1.1.2022,25.3.2022,ghost of kyiv,1502950300084228097%1502592740034428929%1500957880593399811%1500895011533119497%1500578269028134914
EN10,Ukraine,The claim: Vladimir Putin has banned the Rothschild family from entering Russia,https://www.usatoday.com/story/news/factcheck/2022/03/03/fact-check-no-evidence-putin-banned-rothschild-family-russia/6979745001/,(putin rothschild (ban OR banned OR evidence)),3.3.2022,3.1.2022,25.3.2022,putin ban,1505461432237838337%1505377043730481156%1504734440513232911%1504567473479335938%1504537205569724419
EN11,Covid,COVID-19 vaccines do not contain HIV,https://www.politifact.com/factchecks/2022/feb/14/facebook-posts/covid-19-vaccines-do-not-contain-hiv/,((covid vaccine hiv) OR (covid vaccine aids) OR (coronavirus vaccine hiv) OR (coronavirus vaccine aids)),14.2.2022,14.12.2021,25.3.2022,covid vaccine,1501054927967240196%1501036494277992451%1501031167818088452%1500847303896141827
EN12,Covid,No evidence of cancer spike linked to COVID-19 vaccines,https://www.usatoday.com/story/news/factcheck/2022/02/17/fact-check-covid-19-vaccines-not-linked-cancer-spike-experts-say/6711367001/,(covid (vaccine OR vaccines) cancer (spike OR protein)),17.2.2022,17.12.2021,25.3.2022,cancer vaccine,1500811079529779203%1500683062354534400%1500625515522269191%1500601459150405638
EN13,Covid,PCR tests diagnose COVID-19 aren't used to secretly vaccinate people,https://www.usatoday.com/story/news/factcheck/2022/02/23/fact-check-article-falsely-claims-pcr-tests-vaccinate-against-covid/6832471001/,((pcr johns hopkins) OR (pcr test vaccinate)),23.2.2022,23.12.2021,25.3.2022,pcr test covid,1501056794000596995%1500959057330548738%1500792693626183680%1500326821304274947%1500120832978214915
EN14,Covid,Over-vaccination causes faster mutation of the (COVID-19) virus which causes a super virus we may not have the ability to fight off.,https://www.politifact.com/factchecks/2022/mar/01/mary-felzkowski/no-vaccination-does-not-cause-covid-19-mutate-fast/,((over vaccination super virus) OR (over-vaccination super virus) OR (super virus mutation)),1.3.2022,1.1.2022,25.3.2022,vaccination mutation,1499414077604614145%1498881607964495872%1485328818499997705%1481094269847105542
EN15,Covid,Says Bob Saget died from the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/jan/10/tweets/social-media-posts-try-connect-sagets-death-covid-/,bob saget covid vaccine,10.1.2022,10.11.2021,10.3.2022,bob saget,1503938574223396868%1503763956191608837%1503629715420192770%1499913218239909889%1499422599431921669
EN16,Covid,Corona PCR ‘test’ is implanting a microchip.,https://www.politifact.com/factchecks/2021/oct/21/facebook-posts/covid-19-tests-are-not-part-conspiracy-microchip-p/,(((pcr test (microchip OR microchips OR chip OR chips)) OR (pcr (covid OR corona OR covid19 OR covid-19) (microchip OR microchips OR chip OR chips))) -(FEMA Whistleblower)),21.10.2021,21.8.2021,21.12.2021,microchip,1498215606717403137%1496313308781195265%1483335211379314691%1483221314630524928%1480382576992866308%1472858945190612997
EN17,Covid,Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!,https://www.politifact.com/factchecks/2022/jan/05/blog-posting/old-video-clip-pfizer-ceo-not-referring-microchips/,((pfizer ceo microchip pill) OR (microchip covid pill)),5.1.2022,5.11.2021,5.3.2022,pfizer ceo,1502938239413358592%1502572894827724802%1503719550143148033%1496856260201021445%1488234812817117187%1487631610707124233
EN18,Covid,WHO Director-General: The vaccines are being used to kill children.,https://www.politifact.com/factchecks/2021/dec/23/tweets/twitter-post-misconstrues-what-who-director-genera/,((who director kill children) OR (who director pronounced)),23.12.2021,23.10.2021,23.2.2022,who director covid,1476514614762377224%1476528105124769792%1476567837531594756%1476666862926716936%1476784721438797824
EN19,Covid,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,https://www.politifact.com/factchecks/2021/dec/03/instagram-posts/covid-19-vaccines-are-not-gene-therapy-and-forbes-/,(((vaccine OR vaccines) (gene OR genes) therapy forbes) OR ((covid OR corona) (gene OR genes) therapy)),3.12.2021,3.10.2021,3.2.2022,forbes article,1470481544720617473%1468372359790968833%1467812461038481411%1458978949485056002%1466219006856204288
