tweet_id	reply	retweet	like	quote
1509176120507187202			1169979492221247489,2863842917	
1511256298238750721				
1510055907740327951				
1507117720772427782			1470878821394046988,1332487824	
1511280127996477444		25264158,1161052012559179777,1106946548,617491386,1262733098661425153,47294354,1343974675219689472,1351598967302324226,1356348044598513671,1432683092389552130,725562252141568004,1031429884189528064,1166398480102887425,1437626394,21814978,1502394564585439239,408199414	2732748311,1496639521,25264158,32951490,1161052012559179777,1106946548,719981257300537348,3041287792,1135652439569457153,19289681,617491386,1471852115144359942,1308452692235345921,1262733098661425153,1239132736750858241,2976785741,1330028582157111297,47294354,878535987802116096,1160069028,763545792,2685105384,381781098,166340204,1432683092389552130,1031429884189528064,1209394737611825152,1475428952055459844,2577073500,2823409575,1166398480102887425,137724771,2696756627,731073944128761856,866051651433627650,347692643,1407545540,927884391501533185,1247260552793149441,2872432227,298701234,2429429098,964790915025063936,2805689682,1496018780518027266,1189660506174427136,1674065839,2410965854,1109823608979968000,185828384,2816179909,50313582,1244579374449324032,1472304452979810310,880095884247257088,408199414,1242280960084738048,1503324072981188608,1504389772906835976,112694286	1333170639335731202,867488385803407360,164906215,3609395537,1461046155899543552,1291365977356214272,2759033192,1271109315965980672,995126013884592128,634680046,1278638077368565760,1447315294490439683,1319684231233261575,3003612837,3092875257,3042388781,1321517532805697536
1511414880624021505			1500563690881486848,1411493647212744707	
1507086414567063552				
1507084960033030144	1366035058365186051	1366035058365186051	1366035058365186051	
1506744954294620169				
1507416013989548032		1497100206520692736	1367521371048136710,2758842505,1503895016002965513,1501196493151260678,2893771441,1450710631011717121,859450118759735300,1337380365166637057,1290479582,1473045922498191365,3101990218,623863159,980424908,529533450,1497100206520692736	
1507212651943714820				
1506339873929797644				
1506761066529038336	1428913991875584004	1916851471,1312486198821089280,910433696154451968,1492443604341919744,453023246,1157302637034790912,113496827,118203670	1205391646549897217,3668099238,1916851471,1163377176248385536,1312486198821089280,808664844001886209,1428913991875584004,910433696154451968,1492443604341919744,1140538651840958465,1157302637034790912,23625105,859954278374326272,816173217479917569,148294565,795917559421751296,4112442672,1317611771033579520,2552836680	427499796
1511301709372567556				
1511373031263936513				
1511130953338560521			397767270	
1511445536020312068				
1509721437271076899				
1511329648415707136				
1511051568703021068				
1511404281693233152	14465282		159267575	
1506608897917808645				
1507319334087110662			1286032890631880704,1458895388975448066,438525406,1474212963817041930,458357703	
1507250299026739201				
1509198770940043264				
1511085359840604171				
1511394484415877123				
1509889643289927680				
1509413669532225536				
1508946708465700873				
1511365138015694853	1056906122,424318034	45966086,283327240	45966086,14696382,1532963154,1354876625817657349,939499387,33298532,424318034	
1511481540655648769				200411574
1511051409180999682				
1511288488301367298				
1511377014502178821				
1509164079252111361				
1511364249687404549				
1511269823984160769			1260640413335117826	
1507128157819834374		1423744974047285254	239877730,1431039066565484545,1498619276151771136,33077981	
1510962966992076801				
1506746183905071110				
