EventNo,Topic,Event,Link,Keywords,Check_Date,Start_Date,End_Date,Other_Keywords,Sample_Tweets
TR1,Ukraine,Ukraynalıların ele geçirdikleri Rus tanklarını internetten sattıkları iddiası,https://teyit.org/analiz-ukraynalilarin-ele-gecirdikleri-rus-tanklarini-internetten-sattigi-iddiasi,((rus (tankı OR tank) (ebay OR internet)) OR (rus (tankı OR tank) (ebay OR internet)) OR (satılık rus (tankı OR tank))),3.3.2022,3.1.2022,25.3.2022,rusya ukrayna tank,1500095815297081344%1499815476867833856%1499744313005195264%1499652072618315776
TR2,Ukraine,CNN Türk ekranında yayınlanan videonun Rusya Ukrayna çatışmasından olduğu iddiası,https://teyit.org/analiz-cnn-turk-ekraninda-yayinlanan-videonun-rusya-ukrayna-catismasindan-oldugu-iddiasi,((cnn görüntü savaş) OR (cnn çatışma görüntü) OR (cnn rusya ukrayna video) OR (rusya ukrayna çatışma (iddia OR iddaa))),28.2.2022,28.12.2021,25.3.2022,cnn rusya ukrayna,1499825802908684292%1499304258155552771%1499025059033329666%1498671304345636866%1498681361762336777
TR3,Ukraine,Time dergisinin Putin'i Adolf Hitler'e benzeten bir kapak hazırladığı iddiası,https://teyit.org/analiz-time-dergisinin-putini-adolf-hitlere-benzeten-kapak-hazirladigi-iddiasi,(((putin OR putini OR putin’i) time (hitler OR hitleri OR hitler’i)) OR ((putin OR putini OR putin’i) dergi (hitler OR hitleri OR hitler’i))),28.2.2022,28.12.2021,25.3.2022,time dergisi,1498943528361250816%1498680038912319496%1498270205902000130%1498250839676362759%1498249525378572289%1498249133622243328
TR4,Ukraine,Polonya'ya kaçtı iddiasına jet yanıt,https://www.cnnturk.com/video/dunya/polonyaya-kacti-iddiasina-jet-yanit,(((zelensky OR zelenski) (polonyaya OR polonya’ya) (kaçtı OR kacti OR kaçti)) OR ((zelensky OR zelenski) (iddiası OR iddasi OR iddaasi OR iddaası) (kaçtı OR kacti OR kaçti))),5.3.2022,5.1.2022,25.3.2022,polonya ukrayna,1500522456947347463%1500471826048331788%1500122952276324356%1499866488546734084%1499842105606291456%1499804372267638793
TR5,Ukraine,Toyota'nın Ukrayna'ya 5 bin araç göndererek destek olacağı iddiası,https://teyit.org/analiz-toyotanin-ukraynaya-5-bin-arac-gondererek-destek-olacagi-iddiasi,((ukrayna toyota (pickup OR pick-up OR pikap)) OR (ukrayna toyota destek)),3.3.2022,3.1.2022,25.3.2022,toyota pickup,1499705710824902656%1499659976465334274%1499625977202327556%1499500413464334343%1499290848856612866
TR6,Ukraine,Ukrayna’nın gönüllü askerlere günde 2 bin dolar vereceği iddiası,https://teyit.org/analiz-ukraynanin-gonullu-askerlere-gunde-2-bin-dolar-verecegi-iddiasi,((ukrayna asker (2 OR iki) bin dolar) OR (gönüllü asker ukrayna dolar) OR (ukrayna gönüllü (2 OR iki) bin)),11.3.2022,11.1.2022,25.3.2022,gönüllü asker,1502412797325553666%1502376034737561819%1502367513170092033%1502324945837338624%1502239579008647169
TR7,Ukraine,Fotoğrafın Ukrayna güzeli Anastasiia Lenna’nın orduya katıldığını gösterdiği iddiası,https://teyit.org/analiz-2015-ukrayna-guzeli-anastasiia-lennanin-rusyaya-karsi-savasmak-uzere-orduya-katildigi-iddiasi,ukrayna (anastasiia OR anastasya OR anastasia) (lenna OR ordu),8.3.2022,8.1.2022,25.3.2022,ukrayna ordu,1501855409312784386%1501155664743198722%1501091544463560710%1500835775428050948%1499255541381701632%1499113561246871552
TR8,Ukraine,NATO Genel Sekreteri’nin Rusya Ukrayna çatışmasıyla ilgili “Yüzyılın en büyük savaşı olacak” dediği iddiası,https://teyit.org/analiz-nato-genel-sekreterinin-rusya-ukrayna-catismasiyla-ilgili-yuzyilin-en-buyuk-savasi-olacak-dedigi-iddiasi,(((yüzyılın OR (yüz yılın) OR 100yılın OR 100yıl) en büyük (savaşı OR savasi OR savaş OR savas) nato) OR (nato genel sekreteri (yüzyılın OR (yüz yılın) OR 100yılın OR 100yıl) (savaşı OR savasi OR savaş OR savas))),24.2.2022,24.12.2021,25.3.2022,nato genel sekreteri,1500749539208216576%1499836060297273348%1499835262318354434%1497224868789567490%1497073759458668544
TR9,Covid,Üç doz Covid-19 aşısı olanlara HIV bulaştığı iddiası,https://teyit.org/analiz-uc-doz-covid-19-asisi-olanlara-hiv-bulastigi-iddiasi,(((covid OR kovid OR korona) (aşı OR asi) (hiv OR HIV)) OR ((covid OR kovid OR korona) (aşı OR asi) aids) OR ((üç OR 3) doz (aşı OR asi) (hiv OR HIV)) OR ((üç OR 3) doz (aşı OR asi) aids)),18.2.2022,18.12.2021,25.3.2022,aids hiv,1499336696235712513%1499110570926223366%1499059532827402248%1498900784137785349%1499769365335580674
TR10,Covid,Delmicron adlı yeni bir varyant tespit edildiği iddiası,https://teyit.org/analiz-delmicron-adinda-yeni-bir-varyant-tespit-edildigi-iddiasi,((delmicron varyant) OR (delmikron varyant)),28.12.2021,28.10.2021,28.2.2022,virüs varyant,1488198563972665351%1485709561491337217%1481371880086986762%1480943619263635461%1480922814018371590%1480129767575891972
TR11,Covid,Videonun Koca Turkovac aşısı olurken enjektörün değiştirildiğini gösterdiği iddiası,https://teyit.org/analiz-videonun-fahrettin-kocanin-turkovac-asisi-olurken-dolu-enjektorun-degistirildigini-gosterdigi-iddiasi,((turkovac (enjektör OR enjektor OR igne OR iğne OR şırınga)) OR (bakan hemşire turkovac) OR (turkovac hemşire (enjektör OR enjektor OR igne OR iğne OR şırınga))),10.1.2022,10.11.2021,10.3.2022,turkovac covid,1482233118291419136%1481948938878038017%1481751289088331781%1481322146509041668%1480848264941428736
TR12,Covid,Fatih Erbakan’ın gösterdiği kuyruklu ve tüylü bebek fotoğrafları,https://teyit.org/analiz-fatih-erbakanin-gosterdigi-kuyruklu-ve-tuylu-bebek-fotograflari,((fatih erbakan bebek (asi OR aşı OR aşi)) OR (erbakan kuyruklu bebek) OR (erbakan bebek (asi OR aşı OR aşi))),22.9.2021,22.7.2021,22.11.2021,covid aşı,1485907787972591619%1462200529183023107%1456213639938117637%1455222098121707538%1438756495227645952
TR13,Covid,Bill Gates’in aşılarla dünya nüfusunu azaltmayı amaçladığı iddiası,https://teyit.org/analiz-bill-gatesin-asilarla-dunya-nufusunu-azaltmayi-amacladigi-iddiasi,bill gates nüfus,10.12.2020,10.10.2020,10.2.2021,bill gates,1355892316234510343%1355853943818104835%1355595419443585024%1352897090750476288%1350928259425456136
TR14,Covid,Moderna CEO'sunun bir gecede 400 milyon dolarlık hisse sattığı iddiası,https://teyit.org/analiz-moderna-ceosunun-bir-gecede-400-milyon-dolarlik-hisse-sattigi-iddiasi,((moderna (ceo OR ceo’su OR ceosu) hisse) OR (moderna (ceo OR ceo’su OR ceosu) 400 milyon) OR (stephane bancel hisse) OR (moderna hisse (satış OR satis OR satiş)) OR (moderna bir gecede)),23.2.2022,23.12.2021,25.3.2022,moderna (ceo OR ceosu OR ceo’su),1502204335719129088%1498363462891749378%1497217087118491652%1496467162084614149%1492606598300250114%1492587079464857600
TR15,Covid,Türeci ve Şahin'in fotoğraflarının yeni euro banknotlarda yer alacağı iddiası,https://teyit.org/analiz-tureci-ve-sahinin-fotograflarinin-yeni-euro-banknotlarda-yer-alacagi-iddiasi,(((türeci OR tureci OR (uğur şahin) OR (uğur sahin) OR (ugur sahin) OR (ugur şahin) OR türeci-uğur OR ÖzlemTüreci OR UğurŞahin) euro (banknot OR para))),3.1.2022,3.11.2021,3.3.2022,türeci şahin,1482402993702158339%1481917269928259586%1478452431747002370%1477606812161658885%1477715428990455810
TR16,Covid,Covid-19 aşısı olanların bir daha kan veremeyeceği iddiası,https://teyit.org/analiz-covid-asisi-olanlarin-kan-veremeyecegi-iddiasi,((aşı kan veremiyor) OR (aşı kan veremeyecek) OR (aşı kan vermek) OR (aşı kan verebiliyor)),12.7.2021,12.5.2021,12.9.2021,kan vermek,1425180360183267331%1425179363587334146%1425011408912146472%1420825991824478217%1419683383395995650%1418663653310599171
TR17,Covid,Fransız ekonomist Jacques Attali’nin 1981’de salgın kaynaklı ötanaziyi desteklediğini açıkladığı iddiası,https://teyit.org/analiz-fransiz-ekonomist-jacques-attalinin-1981de-salgin-kaynakli-otanaziyi-destekledigini-acikladigi-iddiasi,((1981 attali) OR (salgın ötenazi attali)),18.6.2021,18.4.2021,18.8.2021,ötenazi,1432601111454703623%1432443022126587909%1426910732180983808%1420140695386480643%1419909360285896724
TR18,Covid,Covid-19 aşısı olanların bluetooth ekranında seri numarası gözüktüğü iddiası,https://teyit.org/analiz-covid-19-asisi-olanlarin-bluetooth-ekraninda-seri-numarasi-gozuktugu-iddiasi,((asi OR aşı OR ası) bluetooth),15.6.2021,15.4.2021,15.8.2021,bluetooth,1432750637956145160%1432358823235362816%1432261367856345088%1432118658302627841%1431625927679778818%1431214481825320964%1430808428642021379%1430574553185636358%1430490057912332290
TR19,Covid,Dr. Fauci'nin e-postasının koronavirüsün biyolojik silah olduğunu ifşa ettiği iddiası,https://teyit.org/analiz-dr-faucinin-e-postalarinda-koronavirusun-biyolojik-silah-olarak-uretildiginin-ifsa-oldugu-iddiasi,(((fauci OR fauci’nin OR fauçi) biyolojik) OR ((fauci OR fauci’nin OR fauçi) (e-posta OR eposta OR posta) silah) OR ((fauci OR fauci’nin OR fauçi) (e-posta OR eposta OR posta))),7.6.2021,7.4.2021,7.8.2021,biyolojik silah,1432408778977259528%1429578762627256331%1426896451729334276%1426155010581307392%1403273766701092867
TR20,Covid,Covid-19 aşısının bazı gençlerde kalp iltihaplanmasına sebep olduğu iddiası,https://teyit.org/analiz-covid-19-asisinin-bazi-genclerde-kalp-iltihaplanmasi,(korona OR aşı OR kovid OR covid) (iltihap OR iltihaplanması OR iltihaplanmasına) kalp,28.5.2021,28.3.2021,28.7.2021,kalp iltihap,1464725140755910663%1461311700989362177%1460644258445205513%1459151551969349635
TR21,Refugees,Suriye’de tüm suçları kapsayan genel af çıkarıldığı iddiası,https://teyit.org/analiz-suriyede-tum-suclari-kapsayan-genel-af-cikarildigi-iddiasi,((suriye genel af) OR (suriye asker kaçakları af)),28.1.2022,28.11.2021,28.3.2022,suriye mülteci,1499622152022237186%1500491136632250374%1500911372409970703%1499086085024100354%1499039120303304718
