tweet_id	reply	retweet	like	quote
1425537654356074500				
1451447427978965022				
1433121125379280898			943964384140890117,1359578716926574599	
1431239635099951107	1356899331928907776,1356899331928907776,2239192435,2239192435,328114027,1125489310696865793,1415489802955276288,3709445777,941963517871247361,3709445777,941963517871247361,3709445777,1421865114031075328,1278765197541412867,1411697021011038208,1123626621687169024,356685136,941963517871247361,20509492,3709445777,2829002385,328701781,2959465144,3958076859,3958076859,2693683308,1040776319959805953,2405172885,1194254953,1400737964058152963,1194254953,815766410,815766410,1194254953,42585488,1194254953,1194254953,1194254953,73129842,829759483,779342681109569536,1430415936482332672,1400100049871327232,1194254953,1233138959292805130,941963517871247361,1400100049871327232,159225829,1419939854348075019,373534786,1430415936482332672,216855442,1286084455,216855442,187241794,1364198804317220871,1334051764421660672,966060524608917507,941963517871247361,456728420,879842405557686273,953534663208947712,1327201191659528192	942098577928736768,727353012667211777,362588623,1143983145001410560,1313238690,816771140064518144,36335508,1229375530367148032,3105408646,174570854,73379600,1018904263563587589,1243811179664936960,61730481,765187661996883968,1234594457439416322,739770670758891520,1402519922,2891185864,2811235887,3040275737,2846925249,815466223702044673,1157383994310307840,1226187422716899329,993757632061214720,49979080,3066140992,1316126538430140416,1057409881,805342920094220288,746679013909893120,1416466449087016962,305497802,1105945920036839433,252178853,66803888,250064138,1355581819362693120,1473286957,1625386747	2893981353,333299110,999078412013752322,942098577928736768,955112249953325056,727353012667211777,362588623,1185206722312507392,21883156,1143983145001410560,1318647196993179650,1164944711901155331,160203951,858366408778014725,2190619746,816771140064518144,1104126497747595264,847278411638648833,754421675727421440,3703126276,1359485882936492038,1343970815805632512,1111330569932234757,36335508,84078302,813808221538422784,1229375530367148032,2597587649,949533120,96765788,872170808969506818,526528300,73379600,3385503340,968880888594518018,264905175,1286768827074781185,733730555213324288,357882161,1298986727936126979,889174206520446976,1243811179664936960,2225548092,1014639800022904832,2537576974,1226237302181126149,969706101645168640,224203780,97256919,1126622231600275456,175347164,955191911341576193,1147509855441342466,124570090,331834867,742671441083179008,1342659023322144769,1402519922,1086419203224154112,1044301666605051904,970292765107130369,2891185864,1087806046255620096,545164049,1241452200322367489,2811235887,76633173,356988779,1474303267,980532129330327553,4624068435,1400831993412206593,3040275737,924738152736182274,159137158,3389494995,1076224023007322117,3029878069,1615115418,289383659,19658792,1077831181327130624,94544734,387797669,1286626065352466433,805334279668592640,754764219254538241,1306949406474801152,400583128,1194952546361712640,808117405004300295,255020979,1148439653369942018,1678805214,1048526348518653952,808596239977680896,1070600792283983872,288740478,804310363,267612255,993757632061214720,1379250854142873604,92800224,3066140992,516908824,1004678071205625856,945202865177530368,373017323,205422624,79008343,1003728996943659008,434043400,2831726690,1316126538430140416,1389986026127495172,870350419259686912,305497802,97042563,955070469367062529,825906368,2518125342,1116234648080801793,1105945920036839433,353161349,718350735537283072,1392046149599694848,270875083,1275386624491347968,252178853,464058809,1403308052166680582,995019690597584896,290605320,931441275009724416,1381888512664989696,2807147501,94535176,1240376166676140034,988478298165571587,93297537,330534053,1396687600094744576,110496957,836336517505249281,1348401810214707200,1286290381190115334,313236286,1355581819362693120,55258496,1189635459523186689,1027488759804321792,1014540032982634497,1010803592457019392,1473286957,1721722909,1625386747,1014201360659763200,787274159214714880,1327201191659528192,1344556334285467650,552172925	2408839265,491980709,186138400,916348484076392454,1426237797673938950,1344690293778612225,1107661001179217921,388308149,2643825137,2643825137,2643825137,2643825137,2326923230,1219869895267102721,2713659063,1297173561564631041,1229767948685979648,504941516,1703949668,83240414,358100992,2836121374,106712273,740301258804760576,1380877107249737731,1233138959292805130,1477645796,381763466,2458001806,1363613447401992192,96318388,1194254953,3947147362,328110259,1416466449087016962,395816922,147003766,95978630,3415205669,2904858047,1286084455,944552360,2295202326,1575532092,187241794,941963517871247361
1442821886518435840			1231309733891629057,970178894467862528	
1442231497486917634			228042687	
1428025689626841091				
1442507016572788741				
1428320955940618243	18882608,385317711	112424841,912802069	1326195660035592193,42395281,147566581,253805442	
1442803248117784579			1246920858855186441	
1442106960170475520	958079017		958079017	
1446120682991996930				
1447584302653390848				
1442799745722994692			1434293014441209857,536073643,937713691629416449	
1452766344282353667			1119356096920076290,311564607,1427351928095322126	
1442378696740978690	1423233880547598339,1582366976		1122614814398918657	
1450469143988342789				
1449662681691086852				
1442368404824985603				
1442594222666760193				
1428063982670209028			703033266	
1442501783482478593	3334679231	1413822598501257218,1424825203960557579,1088523655338999808,1258817824413429760,3294832611,3334679231	969375884640735239,1020670309,2962633769,1055861275362770945,1424825203960557579,1088523655338999808,1432687329618141189,1258817824413429760,3294832611,3334679231	748558341274742784
1427962004828995591	1408836951176892420	1023504013013262336,950848900835037188,263211566	1023504013013262336,950848900835037188,967263611335905280,1196766236237021184,1226461493333544961	
1448589415748669440				
1425474121866092545			130140778,3590760081,296790068,111131115,1248204134429405185,23496171,1349434013249908741,1287314904509276160,2387673356	
1445685134557024268			1330541481199800322	
1442398099687690243				
1450732665670414336		1353650689071853568,87314068	778135963189075968,87314068	
1443209692600221704			1459560394394148868	
1441132861088731137				
1446240745510350854				
1442084565179322368				
1450428358609756161	1118559909916872706,1279510270117904386,1118559909916872706	1390042232372269067	1444613863224250371,1326435437230100483,1280472920947601409,1413056068939354115,1316570056428527616,1347088635288543233,1282373572753793024,1384518497473007618,1284214594299465729,1390042232372269067,1332617476992098305,1229313546498035712,1118559909916872706,1357991638828797956,728507389524246529,1314167447595999233,1227702368999034881,1235192997031161858,1238259194417086473,1403430734367539209,994001016927506432,1219779110030991360,1359909481765892097,1368197506845261831,1196047485103411201,1279510270117904386,1237446405498769409,1230910568409772033,1358453161489559554,1159758916940697600,1088156242839855104,1391893543522869254,1192101112368812032	
1443478667338952708				
1446160014926827529			1292126861586292738	
1428003010110705666			1358300960997670912,1409471385848762369,1421142399561224196,1092061426666164225,73769025,1315934371136892928,1665893762,1396909052731564032,123168319,2546154030,1406953928718262275,906860873695756288	
1442379289547055104				1582366976
1445680799278190597			1430641352879099904	
1433718338996350976				
1425557299595300868		68018938	68018938,1391050590336192514,465578641	
1427977612673048577				
1442469558166695945				
1442964255523934208				
1428076107161640960	1193857109517119488	1092061426666164225	2867476927	
1452394327125151747				
1445483514674049026			752944191517360129,917128471620538369,292700864,326429711,810247404570247178,809127084513755136,1041422303005995019,1415699083973496833	
1443163270093934593				
1442213024107057158			1401979092161937409	
1446786520048939010			2867538573,307025041,1442194944966291463,1424655621115293702,402117552,2369168071,2359933801,1279134800419356676,1208041694471610369,756883361487003649,1336283920346836992,1122182622174695424,2566899094,1392473571218370562,590873140,756137423780782080,841711396484218881,1425868575047311368,840273814122561536,1292182893779922944,1064226593692889088,2274654062,2646871516,1357732226453147651,1342537731428253699,1285904360665423879,312707291,1153779056,924598151100628992,1271499179861381123,1305087602584891392,1189721102	
1443193885656748045				
1452938716234850311				
1425848581567754248				
1441131278540095488				
1450851706842062857	858435722608594944,1410711432891670536		1268302151303999488,1298458336103403520,1364073751336407041,1397579038919729153,171407608,1131829380441870336,858435722608594944,2810571161,1220830485951188994,1338544088665255940	
1452636148623421451	933258978401845248		1190603486892896258,1251249442411483136,1337775705539702790	
1444592327050268677				
1441127281695543298			1263250139969445893	
1449113225581277196			1382449091817447426,1274311381047705600,2327122752	
1443251633274638342			1360841128765972480,1326630099396005894	
1448629786037915650				
1428051269747453959			1368522738730754050,1052322688449036288,624282076,1296919973475028992,1267076365695754242	
1442556127129096193			1347121356895363074,1032889554825609217,947528829823868935,722521822332370950,1334298860039118848,1191464022304022533,1422033394595241989,955702809994891264,1239185559983185923,1180522070633013248,1216463760937881600,3102977525,1224356669255299072	
1432656328472793093	742336991501680640,1334397099451047936,769624766076559362	1402519922,816771140064518144,450448716,50802956,1313238690,298824862,1385864813956509696,290468064	176788906,373017323,877552975694225409,1130522581403131905,2460892975,1402519922,76633173,387797669,831466377395437569,1070600792283983872,3065030068,3346344603,1475678372,70412808,1408481143553396738,816771140064518144,255020979,1231244461797232645,1678805214,44988649,4030680917,1599304044,1382003310174035972,4017736649,819410236318642177,1432102795780427782,353161349,859835149768433690,1298687705161883648,1379791748336078850,2821200543,396760764,1368875483492933632,1333504445527756801,1255526382911860736,298824862,4624068435,274087123,1077831181327130624,1074764641039986694,1403308052166680582,2254743145,477966717,1556830741,1242188249487073280,1412432353314623498,127488971,300232547,1125173891087962112,4545393915,1431689495137722372,179615557,1350230263,1385864813956509696,734643072,344083149,290468064,3339394924,949295329026899973	
1442827681226133505		1250511695518318595,1930071524	790796617507082240,1930071524,1273657032432857088,1226917498907496451,1242540909239164937,331661529	
1445095831221293068				
